pokedex_number,name,generation,genus,type1,type2,base_happiness,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,pokedex_entry
10024,Keldeo Resolute,V,Colt Pokémon,Water,Fighting,35,1.4,48.5,91,72,90,129,90,108,Justified,,"Cobalion, Terrakion, and Virizion taught this Pokémon how to fight. It dashes across the world, seeking more opportunities to further its training."
10025,Meowstic Female,VI,Constraint Pokémon,Psychic,,70,0.6,8.5,74,48,76,83,81,104,"Keen Eye, Infiltrator, Competitive",Espurr,"Revealing the eyelike patterns on the insides of its ears will unleash its psychic powers. It normally keeps the patterns hidden, however."
10026,Aegislash Blade,VI,Royal Sword Pokémon,Steel,Ghost,70,1.7,53.0,60,140,50,140,50,60,Stance Change,Doublade,"In this defensive stance, Aegislash uses its steel body and a force field of spectral power to reduce the damage of any attack."
10027,Pumpkaboo Small,VI,Pumpkin Pokémon,Ghost,Grass,70,0.3,3.5,44,66,70,44,55,56,"Pickup, Frisk, Insomnia",,Spirits that wander this world are placed into Pumpkaboo’s body. They’re then moved on to the afterlife.
10028,Pumpkaboo Large,VI,Pumpkin Pokémon,Ghost,Grass,70,0.5,7.5,54,66,70,44,55,46,"Pickup, Frisk, Insomnia",,Spirits that wander this world are placed into Pumpkaboo’s body. They’re then moved on to the afterlife.
10029,Pumpkaboo Super,VI,Pumpkin Pokémon,Ghost,Grass,70,0.8,15.0,59,66,70,44,55,41,"Pickup, Frisk, Insomnia",,Spirits that wander this world are placed into Pumpkaboo’s body. They’re then moved on to the afterlife.
10030,Gourgeist Small,VI,Pumpkin Pokémon,Ghost,Grass,70,0.7,9.5,55,85,122,58,75,99,"Pickup, Frisk, Insomnia",Pumpkaboo,Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.
10031,Gourgeist Large,VI,Pumpkin Pokémon,Ghost,Grass,70,1.1,14.0,75,95,122,58,75,69,"Pickup, Frisk, Insomnia",Pumpkaboo,Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.
10032,Gourgeist Super,VI,Pumpkin Pokémon,Ghost,Grass,70,1.7,39.0,85,100,122,58,75,54,"Pickup, Frisk, Insomnia",Pumpkaboo,Eerie cries emanate from its body in the dead of night. The sounds are said to be the wails of spirits who are suffering in the afterlife.
10033,Venusaur Mega,I,Seed Pokémon,Grass,Poison,70,2.4,155.5,80,100,123,122,120,80,Thick Fat,Ivysaur,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
10034,Charizard Mega X,I,Flame Pokémon,Fire,Dragon,70,1.7,110.5,78,130,111,130,85,100,Tough Claws,Charmeleon,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
10035,Charizard Mega Y,I,Flame Pokémon,Fire,Flying,70,1.7,100.5,78,104,78,159,115,100,Drought,Charmeleon,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
10036,Blastoise Mega,I,Shellfish Pokémon,Water,,70,1.6,101.1,79,103,120,135,115,78,Mega Launcher,Wartortle,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
10037,Alakazam Mega,I,Psi Pokémon,Psychic,,70,1.2,48.0,55,50,65,175,105,150,Trace,Kadabra,"It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it, from birth till death."
10038,Gengar Mega,I,Shadow Pokémon,Ghost,Poison,70,1.4,40.5,60,65,80,170,95,130,Shadow Tag,Haunter,"On the night of a full moon, if shadows move on their own and laugh, it must be Gengar’s doing."
10039,Kangaskhan Mega,I,Parent Pokémon,Normal,,70,2.2,100.0,105,125,100,60,100,100,Parental Bond,,"Although it’s carrying its baby in a pouch on its belly, Kangaskhan is swift on its feet. It intimidates its opponents with quick jabs."
10040,Pinsir Mega,I,Stag Beetle Pokémon,Bug,Flying,70,1.7,59.0,65,155,120,65,90,105,Aerilate,,"These Pokémon judge one another based on pincers. Thicker, more impressive pincers make for more popularity with the opposite gender."
10041,Gyarados Mega,I,Atrocious Pokémon,Water,Dark,70,6.5,305.0,95,155,109,70,130,81,Mold Breaker,Magikarp,It has an extremely aggressive nature. The Hyper Beam it shoots from its mouth totally incinerates all targets.
10042,Aerodactyl Mega,I,Fossil Pokémon,Rock,Flying,70,2.1,79.0,80,135,85,70,95,150,Tough Claws,,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.
10043,Mewtwo Mega X,I,Genetic Pokémon,Psychic,Fighting,0,2.3,127.0,106,190,100,154,100,130,Steadfast,,It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.
10044,Mewtwo Mega Y,I,Genetic Pokémon,Psychic,,0,1.5,33.0,106,150,70,194,120,140,Insomnia,,It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.
10045,Ampharos Mega,II,Light Pokémon,Electric,Dragon,70,1.4,61.5,90,95,105,165,110,45,Mold Breaker,Flaaffy,The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.
10046,Scizor Mega,II,Pincer Pokémon,Bug,Steel,70,2.0,125.0,70,150,140,65,100,75,Technician,Scyther,Bulky pincers account for one third of Scizor’s body weight. A single swing of one of these pincers will crush a boulder completely.
10047,Heracross Mega,II,Single Horn Pokémon,Bug,Fighting,70,1.7,62.5,80,185,115,40,105,75,Skill Link,,Heracross loves sweet sap and will go looking through forests for it. The Pokémon uses its two antennae to pick up scents as it searches.
10048,Houndoom Mega,II,Dark Pokémon,Dark,Fire,35,1.9,49.5,75,90,90,140,90,115,Solar Power,Houndour,"Long ago, people imagined its eerie howls to be the call of the grim reaper."
10049,Tyranitar Mega,II,Armor Pokémon,Rock,Dark,35,2.5,255.0,100,164,150,95,120,71,Sand Stream,Pupitar,"Its body can’t be harmed by any sort of attack, so it is very eager to make challenges against enemies."
10050,Blaziken Mega,III,Blaze Pokémon,Fire,Fighting,70,1.9,52.0,80,160,80,130,80,100,Speed Boost,Combusken,It can clear a 30-story building in a leap. Its fiery punches scorch its foes.
10051,Gardevoir Mega,III,Embrace Pokémon,Psychic,Fairy,35,1.6,48.4,68,85,65,165,135,100,Pixilate,Kirlia,It has the power to predict the future. Its power peaks when it is protecting its Trainer.
10052,Mawile Mega,III,Deceiver Pokémon,Steel,Fairy,70,1.0,23.5,50,105,125,55,95,50,Huge Power,,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws."
10053,Aggron Mega,III,Iron Armor Pokémon,Steel,,35,2.2,395.0,70,140,230,60,80,50,Filter,Lairon,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.
10054,Medicham Mega,III,Meditate Pokémon,Fighting,Psychic,70,1.3,31.5,60,100,85,80,85,100,Pure Power,Meditite,"It elegantly avoids attacks with dance-like steps, then launches a devastating blow in the same motion."
10055,Manectric Mega,III,Discharge Pokémon,Electric,,70,1.8,44.0,70,75,80,135,80,135,Intimidate,Electrike,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well."
10056,Banette Mega,III,Marionette Pokémon,Ghost,,35,1.2,13.0,64,165,75,93,83,75,Prankster,Shuppet,A doll that became a Pokémon over its grudge from being junked. It seeks the child that disowned it.
10057,Absol Mega,III,Disaster Pokémon,Dark,,35,1.2,49.0,65,150,60,115,60,115,Magic Bounce,,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters."
10058,Garchomp Mega,IV,Mach Pokémon,Dragon,Ground,70,1.9,95.0,108,170,115,120,95,92,Sand Force,Gabite,"Garchomp makes its home in volcanic mountains. It flies through the sky as fast as a jet airplane, hunting down as much prey as it can."
10059,Lucario Mega,IV,Aura Pokémon,Fighting,Steel,70,1.3,57.5,70,145,88,140,70,112,Adaptability,Riolu,"It controls waves known as auras, which are powerful enough to pulverize huge rocks. It uses these waves to take down its prey."
10060,Abomasnow Mega,IV,Frost Tree Pokémon,Grass,Ice,70,2.7,185.0,90,132,105,132,105,30,Snow Warning,Snover,"If it sees any packs of Darumaka going after Snover, it chases them off, swinging its sizable arms like hammers."
10061,Floette Eternal,VI,Single Bloom Pokémon,Fairy,,70,0.2,0.9,74,65,67,125,128,92,"Flower Veil, Symbiosis",Flabebe,It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.
10062,Latias Mega,III,Eon Pokémon,Dragon,Psychic,90,1.8,52.0,80,100,120,140,150,110,Levitate,,It communicates using telepathy. Its body is covered in down that refracts light to make it invisible.
10063,Latios Mega,III,Eon Pokémon,Dragon,Psychic,90,2.3,70.0,80,130,100,160,120,110,Levitate,,"A highly intelligent Pokémon. By folding back its wings in flight, it can overtake jet planes."
10064,Swampert Mega,III,Mud Fish Pokémon,Water,Ground,70,1.9,102.0,100,150,110,95,110,70,Swift Swim,Marshtomp,"Its arms are hard as rock. With one swing, it can break a boulder into pieces."
10065,Sceptile Mega,III,Forest Pokémon,Grass,Dragon,70,1.9,55.2,70,110,75,145,85,145,Lightning Rod,Grovyle,The leaves that grow on its arms can slice down thick trees. It is without peer in jungle combat.
10066,Sableye Mega,III,Darkness Pokémon,Dark,Ghost,35,0.5,161.0,50,85,125,85,115,20,Magic Bounce,,"This Pokémon is feared. When its gemstone eyes begin to glow with a sinister shine, it’s believed that Sableye will steal people’s spirits away."
10067,Altaria Mega,III,Humming Pokémon,Dragon,Fairy,70,1.5,20.6,75,110,110,110,105,80,Pixilate,Swablu,"As it flies in a calm and relaxed manner, Altaria performs a humming song that would enrapture any audience."
10068,Gallade Mega,IV,Blade Pokémon,Psychic,Fighting,35,1.6,56.4,68,165,95,65,115,110,Inner Focus,Kirlia,"True to its honorable-warrior image, it uses the blades on its elbows only in defense of something or someone."
10069,Audino Mega,V,Hearing Pokémon,Normal,Fairy,70,1.5,32.0,103,60,126,80,126,50,Healer,,Audino’s sense of hearing is superb. Not even a pebble rolling along over a mile away will escape Audino’s ears.
10070,Sharpedo Mega,III,Brutal Pokémon,Water,Dark,35,2.5,130.3,70,140,70,110,65,105,Strong Jaw,Carvanha,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph."
10071,Slowbro Mega,I,Hermit Crab Pokémon,Water,Psychic,70,2.0,120.0,95,75,180,130,80,30,Shell Armor,Slowpoke,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.
10072,Steelix Mega,II,Iron Snake Pokémon,Steel,Ground,70,10.5,740.0,75,125,230,55,95,30,Sand Force,Onix,"It is said that if an Onix lives for over 100 years, its composition changes to become diamond-like."
10073,Pidgeot Mega,I,Bird Pokémon,Normal,Flying,70,2.2,50.5,83,80,80,135,80,121,No Guard,Pidgeotto,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
10074,Glalie Mega,III,Face Pokémon,Ice,,70,2.1,350.2,80,120,80,120,80,100,Refrigerate,Snorunt,"It has a body of ice that won’t melt, even with fire. It can instantly freeze moisture in the atmosphere."
10075,Diancie Mega,VI,Jewel Pokémon,Rock,Fairy,70,1.1,27.8,50,160,110,160,110,110,Magic Bounce,,"A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world."
10076,Metagross Mega,III,Iron Leg Pokémon,Steel,Psychic,35,2.5,942.9,80,145,150,105,110,110,Tough Claws,Metang,"Because the magnetic powers of these Pokémon get stronger in freezing temperatures, Metagross living on snowy mountains are full of energy."
10077,Kyogre Primal,III,Sea Basin Pokémon,Water,,0,9.8,430.0,100,150,90,180,160,90,Primordial Sea,,A mythical Pokémon said to have swelled the seas with rain and tidal waves. It battled with Groudon.
10078,Groudon Primal,III,Continent Pokémon,Ground,Fire,0,5.0,999.7,100,180,160,150,90,90,Desolate Land,,Said to have expanded the lands by evaporating water with raging heat. It battled titanically with Kyogre.
10079,Rayquaza Mega,III,Sky High Pokémon,Dragon,Flying,0,10.8,392.0,105,180,100,180,100,115,Delta Stream,,It lives in the ozone layer far above the clouds and cannot be seen from the ground.
10080,Pikachu Rock Star,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10081,Pikachu Belle,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10082,Pikachu Pop Star,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10083,Pikachu Phd,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10084,Pikachu Libre,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10085,Pikachu Cosplay,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10086,Hoopa Unbound,VI,Mischief Pokémon,Psychic,Dark,100,6.5,490.0,80,160,60,170,130,80,Magician,,"This troublemaker sends anything and everything to faraway places using its loop, which can warp space."
10087,Camerupt Mega,III,Eruption Pokémon,Fire,Ground,70,2.5,320.5,70,120,100,145,105,20,Sheer Force,Numel,The volcanoes on its back have a major eruption every 10 years--or whenever it becomes really angry.
10088,Lopunny Mega,IV,Rabbit Pokémon,Normal,Fighting,140,1.3,28.3,65,136,94,54,96,135,Scrappy,Buneary,"Lopunny is constantly monitoring its surroundings. If danger approaches, this Pokémon responds with superdestructive kicks."
10089,Salamence Mega,III,Dragon Pokémon,Dragon,Flying,35,1.8,112.6,95,145,130,120,90,120,Aerilate,Shelgon,Salamence is an unusual Pokémon in that it was able to evolve a body with wings just by constantly wishing to be able to fly.
10090,Beedrill Mega,I,Poison Bee Pokémon,Bug,Poison,70,1.4,40.5,65,150,40,15,80,145,Adaptability,Kakuna,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
10091,Rattata Alola,I,Mouse Pokémon,Dark,Normal,70,0.3,3.8,30,56,35,25,35,72,"Gluttony, Hustle, Thick Fat",,"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."
10092,Raticate Alola,I,Mouse Pokémon,Dark,Normal,70,0.7,25.5,75,71,70,40,80,77,"Gluttony, Hustle, Thick Fat",Rattata,"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans."
10093,Raticate Totem Alola,I,Mouse Pokémon,Dark,Normal,70,1.4,105.0,75,71,70,40,80,77,"Gluttony, Hustle, Thick Fat",Rattata,"Its hind feet are webbed, so it’s a strong swimmer. It can cross rivers and sometimes even oceans."
10094,Pikachu Original Cap,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10095,Pikachu Hoenn Cap,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10096,Pikachu Sinnoh Cap,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10097,Pikachu Unova Cap,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10098,Pikachu Kalos Cap,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10099,Pikachu Alola Cap,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10100,Raichu Alola,I,Mouse Pokémon,Electric,Psychic,70,0.7,21.0,60,85,50,95,85,110,Surge Surfer,Pikachu,Its long tail serves as a ground to protect itself from its own high-voltage power.
10101,Sandshrew Alola,I,Mouse Pokémon,Ice,Steel,70,0.7,40.0,50,75,90,10,35,40,"Snow Cloak, Slush Rush",,"It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body."
10102,Sandslash Alola,I,Mouse Pokémon,Ice,Steel,70,1.2,55.0,75,100,120,25,65,65,"Snow Cloak, Slush Rush",Sandshrew,"The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched."
10103,Vulpix Alola,I,Fox Pokémon,Ice,,70,0.6,9.9,38,41,40,50,65,65,"Snow Cloak, Snow Warning",,"While young, it has six gorgeous tails. When it grows, several new tails are sprouted."
10104,Ninetales Alola,I,Fox Pokémon,Ice,Fairy,70,1.1,19.9,73,67,75,81,100,109,"Snow Cloak, Snow Warning",Vulpix,"It is said to live 1,000 years, and each of its tails is loaded with supernatural powers."
10105,Diglett Alola,I,Mole Pokémon,Ground,Steel,70,0.2,1.0,10,55,30,35,45,90,"Sand Veil, Tangling Hair, Sand Force",,"If a Diglett digs through a field, it leaves the soil perfectly tilled and ideal for planting crops."
10106,Dugtrio Alola,I,Mole Pokémon,Ground,Steel,70,0.7,66.6,35,100,60,50,70,110,"Sand Veil, Tangling Hair, Sand Force",Diglett,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.
10107,Meowth Alola,I,Scratch Cat Pokémon,Dark,,70,0.4,4.2,40,35,35,50,40,90,"Pickup, Technician, Rattled",,"It loves to collect shiny things. If it’s in a good mood, it might even let its Trainer have a look at its hoard of treasures."
10108,Persian Alola,I,Classy Cat Pokémon,Dark,,70,1.1,33.0,65,60,60,75,65,115,"Fur Coat, Technician, Rattled",Meowth,"Getting this prideful Pokémon to warm up to you takes a lot of effort, and it will claw at you the moment it gets annoyed."
10109,Geodude Alola,I,Rock Pokémon,Rock,Electric,70,0.4,20.3,40,80,100,30,30,20,"Magnet Pull, Sturdy, Galvanize",,"Its round body makes it easy to pick up, but it is hard and heavy. It’s dangerous to play with them as if they were snowballs."
10110,Graveler Alola,I,Rock Pokémon,Rock,Electric,70,1.0,110.0,55,95,115,45,45,35,"Magnet Pull, Sturdy, Galvanize",Geodude,Mossy rocks are its favorite food. It can devour a ton a day while crunching loudly.
10111,Golem Alola,I,Megaton Pokémon,Rock,Electric,70,1.7,316.0,80,120,130,55,65,45,"Magnet Pull, Sturdy, Galvanize",Graveler,"Its body can survive dynamite blasts without a single scratch, but it hates rain and humidity."
10112,Grimer Alola,I,Sludge Pokémon,Poison,Dark,70,0.7,42.0,80,80,50,40,50,25,"Poison Touch, Gluttony, Power Of Alchemy",,Its main source of food is the slimy industrial waste of factories. This Pokémon’s numbers have been decreasing in recent years.
10113,Muk Alola,I,Sludge Pokémon,Poison,Dark,70,1.0,52.0,105,105,75,65,100,50,"Poison Touch, Gluttony, Power Of Alchemy",Grimer,"The stench it gives off will make your nose scrunch up. Still, there are Muk fans who think that’s a good thing."
10114,Exeggutor Alola,I,Coconut Pokémon,Grass,Dragon,70,10.9,415.6,95,105,85,125,75,45,"Frisk, Harvest",Exeggcute,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.
10115,Marowak Alola,I,Bone Keeper Pokémon,Fire,Ghost,70,1.0,34.0,60,80,110,50,80,45,"Cursed Body, Lightning Rod, Rock Head",Cubone,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon."
10116,Greninja Battle Bond,VI,Ninja Pokémon,Water,Dark,70,1.5,40.0,72,95,67,103,71,122,Battle Bond,Frogadier,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two."
10117,Greninja Ash,VI,Ninja Pokémon,Water,Dark,70,1.5,40.0,72,145,67,153,71,132,Battle Bond,Frogadier,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two."
10118,Zygarde 10 Power Construct,VI,Order Pokémon,Dragon,Ground,0,1.2,33.5,54,100,71,61,85,115,Power Construct,,"This is Zygarde’s form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy."
10119,Zygarde 50 Power Construct,VI,Order Pokémon,Dragon,Ground,0,5.0,305.0,108,100,121,81,95,95,Power Construct,,"This is Zygarde’s form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy."
10120,Zygarde Complete,VI,Order Pokémon,Dragon,Ground,0,4.5,610.0,216,100,121,91,95,85,Power Construct,,"This is Zygarde’s form when it has gathered 50% of its cells. It wipes out all those who oppose it, showing not a shred of mercy."
10121,Gumshoos Totem,VII,Stakeout Pokémon,Normal,,70,1.4,60.0,88,110,60,55,60,45,"Stakeout, Strong Jaw, Adaptability",Yungoos,"When it finds a trace of its prey, it patiently stakes out the location...but it’s always snoozing by nightfall."
10122,Vikavolt Totem,VII,Stag Beetle Pokémon,Bug,Electric,70,2.6,147.5,77,70,90,145,75,43,Levitate,Charjabug,"It builds up electricity in its abdomen, focuses it through its jaws, and then fires the electricity off in concentrated beams."
10123,Oricorio Pom Pom,VII,Dancing Pokémon,Electric,Flying,70,0.6,3.4,75,70,70,98,70,93,Dancer,,"It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames."
10124,Oricorio Pau,VII,Dancing Pokémon,Psychic,Flying,70,0.6,3.4,75,70,70,98,70,93,Dancer,,"It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames."
10125,Oricorio Sensu,VII,Dancing Pokémon,Ghost,Flying,70,0.6,3.4,75,70,70,98,70,93,Dancer,,"It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames."
10126,Lycanroc Midnight,VII,Wolf Pokémon,Rock,,70,1.1,25.0,85,115,75,55,75,82,"Keen Eye, Vital Spirit, No Guard",Rockruff,This Lycanroc is calm and cautious. The rocks jutting from its mane are razor sharp.
10127,Wishiwashi School,VII,Small Fry Pokémon,Water,,70,8.2,78.6,45,140,130,140,135,30,Schooling,,"Individually, they’re incredibly weak. It’s by gathering up into schools that they’re able to confront opponents."
10128,Lurantis Totem,VII,Bloom Sickle Pokémon,Grass,,70,1.5,58.0,70,105,90,80,90,45,"Leaf Guard, Contrary",Fomantis,"This Pokémon resembles a beautiful flower. A properly raised Lurantis will have gorgeous, brilliant colors."
10129,Salazzle Totem,VII,Toxic Lizard Pokémon,Poison,Fire,70,2.1,81.0,68,64,60,111,60,117,"Corrosion, Oblivious",Salandit,Only female Salazzle exist. They emit a gas laden with pheromones to captivate male Salandit.
10130,Minior Orange Meteor,VII,Meteor Pokémon,Rock,Flying,70,0.3,40.0,60,60,100,60,100,60,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10131,Minior Yellow Meteor,VII,Meteor Pokémon,Rock,Flying,70,0.3,40.0,60,60,100,60,100,60,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10132,Minior Green Meteor,VII,Meteor Pokémon,Rock,Flying,70,0.3,40.0,60,60,100,60,100,60,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10133,Minior Blue Meteor,VII,Meteor Pokémon,Rock,Flying,70,0.3,40.0,60,60,100,60,100,60,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10134,Minior Indigo Meteor,VII,Meteor Pokémon,Rock,Flying,70,0.3,40.0,60,60,100,60,100,60,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10135,Minior Violet Meteor,VII,Meteor Pokémon,Rock,Flying,70,0.3,40.0,60,60,100,60,100,60,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10136,Minior Red,VII,Meteor Pokémon,Rock,Flying,70,0.3,0.3,60,100,60,100,60,120,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10137,Minior Orange,VII,Meteor Pokémon,Rock,Flying,70,0.3,0.3,60,100,60,100,60,120,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10138,Minior Yellow,VII,Meteor Pokémon,Rock,Flying,70,0.3,0.3,60,100,60,100,60,120,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10139,Minior Green,VII,Meteor Pokémon,Rock,Flying,70,0.3,0.3,60,100,60,100,60,120,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10140,Minior Blue,VII,Meteor Pokémon,Rock,Flying,70,0.3,0.3,60,100,60,100,60,120,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10141,Minior Indigo,VII,Meteor Pokémon,Rock,Flying,70,0.3,0.3,60,100,60,100,60,120,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10142,Minior Violet,VII,Meteor Pokémon,Rock,Flying,70,0.3,0.3,60,100,60,100,60,120,Shields Down,,"Originally making its home in the ozone layer, it hurtles to the ground when the shell enclosing its body grows too heavy."
10143,Mimikyu Busted,VII,Disguise Pokémon,Ghost,Fairy,70,0.2,0.7,55,90,80,50,105,96,Disguise,,"It wears a rag fashioned into a Pikachu costume in an effort to look less scary. Unfortunately, the costume only makes it creepier."
10144,Mimikyu Totem Disguised,VII,Disguise Pokémon,Ghost,Fairy,70,0.4,2.8,55,90,80,50,105,96,Disguise,,"It wears a rag fashioned into a Pikachu costume in an effort to look less scary. Unfortunately, the costume only makes it creepier."
10145,Mimikyu Totem Busted,VII,Disguise Pokémon,Ghost,Fairy,70,0.4,2.8,55,90,80,50,105,96,Disguise,,"It wears a rag fashioned into a Pikachu costume in an effort to look less scary. Unfortunately, the costume only makes it creepier."
10146,Kommo O Totem,VII,Scaly Pokémon,Dragon,Fighting,70,2.4,207.5,75,110,125,100,105,85,"Bulletproof, Soundproof, Overcoat",Hakamo-o,It clatters its tail scales to unnerve opponents. This Pokémon will battle only those who stand steadfast in the face of this display.
10147,Magearna Original,VII,Artificial Pokémon,Steel,Fairy,0,1.0,80.5,80,95,115,130,115,65,Soul Heart,,"This artificial Pokémon, constructed more than 500 years ago, can understand human speech but cannot itself speak."
10148,Pikachu Partner Cap,I,Mouse Pokémon,Electric,,70,0.4,6.0,35,55,40,50,50,90,"Static, Lightning Rod",Pichu,Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy.
10149,Marowak Totem,I,Bone Keeper Pokémon,Fire,Ghost,70,1.7,98.0,60,80,110,50,80,45,"Cursed Body, Lightning Rod, Rock Head",Cubone,"This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely, using a bone as a weapon."
10150,Ribombee Totem,VII,Bee Fly Pokémon,Bug,Fairy,70,0.4,2.0,60,55,60,95,70,124,"Honey Gather, Shield Dust, Sweet Veil",Cutiefly,It makes pollen puffs from pollen and nectar. The puffs’ effects depend on the type of ingredients and how much of each one is used.
